kode_produk,nama_produk,kategori_id,vendor_id,jenis,deskripsi,spesifikasi,harga_satuan,harga_grosir,satuan,stok_minimal,stok_tersedia,gambar,status,created_at,updated_at,harga_diskon,is_featured
PRD001,Asus VivoBook 14 Intel Core i5 Laptop,1,1,barang_it,Laptop untuk keperluan administrasi desa,"""Asus VivoBook 14 Intel Core i5, RAM 8GB, SSD 512GB""",8500000.00,,unit,2,9,68b0ef8e9cb50.jpeg,nonaktif,2025-08-25 03:01:49,2025-09-13 02:50:09,0,1
PRD002,HP LaserJet Printer,2,1,barang_it,Printer laser untuk dokumen desa,"""Monochrome, A4, USB/Network""",2500000.00,,unit,1,4,68b0efc1803d8.jpeg,aktif,2025-08-25 03:01:49,2025-09-11 06:21:14,0,1
PRD005,Logitech M 170 Mouse Wireless,1,1,barang_it,Mouse wireless untuk komputer,"""2.4GHz, Battery included""",150000.00,,unit,3,14,68ac19983815b.jpeg,aktif,2025-08-25 03:01:49,2025-09-13 04:45:51,100000.00,1
PRD003,Sinar Dunia Kertas A4 80gsm,10,1,atk,Kertas fotocopy ukuran A4,"""Putih, 500 lembar per rim""",55000.00,,rim,10,95,68c26d9de8016.jpeg,aktif,2025-08-25 03:03:15,2025-09-11 06:35:09,0,0
PRD006,Pulpen Pilot,10,1,atk,Pulpen tinta biru,"""Tinta gel, 0.7mm""",5000.00,,pcs,10,45,68b0efec497f8.jpeg,aktif,2025-08-25 03:03:15,2025-09-12 02:43:52,0,0
PRD007,Stapler Kenko,10,1,atk,Stapler ukuran sedang,Kapasitas 20 lembar,25000.00,,pcs,5,20,68b0f006a534b.jpeg,aktif,2025-08-25 03:03:15,2025-08-29 00:10:46,0,0
P-616,paket cctv,1,1,barang_it,cctv 8ch,,10904245.00,,paket,10,9,,aktif,2025-09-08 05:09:34,2025-09-08 05:14:58,0,0
P-439,Paket Desa Beji,1,1,barang_it,Peralatan Elektronik & Studio,,81506500.00,,paket,10,9,,aktif,2025-09-08 05:45:04,2025-09-08 05:46:57,0,0
H-550,Smartphone Android,1,1,barang_it,,,3511000.00,,1 pcs,10,9,,aktif,2025-09-08 06:32:41,2025-09-08 06:38:38,0,0
P-756,Paket Desa Kalilunjar,1,1,barang_it,Scanner & Printer Epson,,9983000.00,,paket,10,9,,aktif,2025-09-08 06:41:34,2025-09-08 06:46:56,0,0
L-896,laptop,1,1,barang_it,,,6211000.00,,,10,9,,aktif,2025-09-08 07:01:08,2025-09-08 07:01:52,0,0
S-928,Seragam Pelatihan,1,1,barang_it,,,4650000.00,,,10,9,,aktif,2025-09-09 01:49:26,2025-09-09 01:50:24,0,0
M-029,Mesin Potong Rumput,1,1,barang_it,,,7000000.00,,,10,9,,aktif,2025-09-09 02:39:30,2025-09-09 02:40:16,0,0
M-338,Matrial Kayu PAUD,1,1,barang_it,,,9000000.00,,,10,9,,aktif,2025-09-09 02:41:50,2025-09-09 02:56:49,0,0
M-551,Matrial PAUD,1,1,barang_it,,,11858000.00,,,10,9,,aktif,2025-09-09 02:43:58,2025-09-09 02:44:36,0,0
M-522,Mesin Potong Rumput,1,1,barang_it,,,6201000.00,,,10,9,,aktif,2025-09-09 02:46:29,2025-09-09 02:47:03,0,0
M-546,Matrial Kayu PAUD,1,1,barang_it,,,4162000.00,,,10,9,,aktif,2025-09-09 02:48:05,2025-09-09 02:57:19,0,0
KAOS-LENGA-344,Kaos Lengan Pendek Sablon (Ukuran S-XL),10,1,barang_it,"""Kaos Lengan Pendek Sablon (Ukuran S-XL), sablon 1 tempat 1 warna""","""Kaos Lengan Pendek Sablon (Ukuran S-XL), sablon 1 tempat 1 warna""",70000.00,,pcs,10,1,68c27dfb47730.png,aktif,2025-09-11 02:55:13,2025-09-11 07:44:59,0,0
KAOS-LENGA-969,Kaos Lengan Pendek Sablon (Ukuran XXL),10,1,barang_it,"""Kaos Lengan Pendek Sablon (Ukuran XXL), sablon 1 tempat 1 warna""","""Kaos Lengan Pendek Sablon (Ukuran XXL), sablon 1 tempat 1 warna""",80000.00,,pcs,10,1,68c27e0c0154f.png,aktif,2025-09-11 03:06:12,2025-09-11 07:45:16,0,0
KAOS-LENGA-155,Kaos Lengan Pendek Sablon (Ukuran XXXL),10,1,barang_it,"""Kaos Lengan Pendek Sablon (Ukuran XXXL), sablon 1 tempat 1 warna""","""Kaos Lengan Pendek Sablon (Ukuran XXXL), sablon 1 tempat 1 warna""",90000.00,,pcs,10,1,68c27e1930f41.png,aktif,2025-09-11 03:31:40,2025-09-11 07:45:29,0,0
KAOS-LENGA-248,Kaos Lengan Panjang Sablon (Ukuran S-XL),10,1,barang_it,"""Kaos Lengan Panjang Sablon (Ukuran S-XL), sablon 1 tempat 1 warna""","""Kaos Lengan Panjang Sablon (Ukuran S-XL), sablon 1 tempat 1 warna""",80000.00,,pcs,10,1,68c27e4734bdc.jpg,aktif,2025-09-11 03:48:32,2025-09-11 07:46:15,0,0
KAOS-LENGA-779,Kaos Lengan Panjang Sablon (Ukuran XXL),10,1,barang_it,"""Kaos Lengan Panjang Sablon (Ukuran XXL), sablon 1 tempat 1 warna""","""Kaos Lengan Panjang Sablon (Ukuran XXL), sablon 1 tempat 1 warna""",90000.00,,pcs,10,1,68c27e5314468.jpg,aktif,2025-09-11 03:53:40,2025-09-11 07:46:27,0,0
KAOS-LENGA-258,Kaos Lengan Panjang Sablon (Ukuran XXXL),10,1,barang_it,"""Kaos Lengan Panjang Sablon (Ukuran XXXL), sablon 1 tempat 1 warna""","""Kaos Lengan Panjang Sablon (Ukuran XXXL), sablon 1 tempat 1 warna""",100000.00,,,10,1,68c27e5f0e7b8.jpg,aktif,2025-09-11 03:54:51,2025-09-11 07:46:39,0,0
